Rating,Review Date,Employee,Description
5.0,"Sep 06, 2016","Former  Employee  in Sunnyvale, California","[' Standard Silicon Valley package with retirement, above average health plans, and time off. Had to take FMLA leave but was handled smoothly and their plan was significantly better than the states.']"
4.0,"Sep 05, 2016","Current  Employee  in Sunnyvale, California",[' Free food. Free (not good) coffee. ;-) 25% 401K match.']
5.0,"Aug 31, 2016","Former  Human Resources  in Sunnyvale, California","[' Always has the employee in mind, the benefits are amazing and they try to be consistent globally where they can. I think the focus is keeping the employee happy. I took advantage of all the benefits offered, there was a lot of culture at Yahoo, October fest, Family Picnic, Yaboo, FYI - lots of different events throughout the year.']"
4.0,"Aug 24, 2016","Former  Employee  in Sunnyvale, California",[' no remote work is permitted']
4.0,"Aug 01, 2016","Current  Insights Manager  in Sunnyvale, California","[' Great benefits! Many onsite perks, such as free food, free coffee bar, free gym, and much more. All the classic benefits like health insurance are top notch.']"
5.0,"Jul 30, 2016","Current  Senior Product Manager  in Sunnyvale, California",[' Best : Very economical and well covered Con : Yearly plans and cannot be changed']
5.0,"Jul 29, 2016","Current  Employee  in Sunnyvale, California",[' Excellent benefit for almost everything!']
4.0,"Jul 28, 2016","Former  Small Business Sales Representative  in Omaha, Nebraska",[' The best part was the flexibility of schedule and breakfast and lunch being provided.']
4.0,"Jul 27, 2016","Current  Employee  in Los Angeles, California","[' Generous vacation, carried over pre-acquisition tenure for accrual rate,']"
5.0,"Jul 22, 2016","Current  Employee  in Santa Monica, California","[' Great benefits, 401k, vacation and unlimited sick leave, stock options, parental leave, health+dental+vision fully covered.']"
5.0,"Jul 22, 2016","Current  Employee  in Santa Monica, California","[' Complete package of health, stock options, vacation, and parental leave.']"
5.0,"Jul 22, 2016","Current  Employee  in Santa Monica, California","[' Very generous benefits for intermediate roles and up with stock options and awards, annual bonus, flexible vacation hours, unlimited sick leave, good 401k matching program, complete health, dental, vision insurance, continued development for classes to grow skills, and a great work environment.']"
5.0,"Jul 21, 2016","Current  Employee  in Los Angeles, California","[' Great health insurance including very expensive fertility programs for women, maternity and paternity leave and amazing free food and snacks']"
5.0,"Jul 20, 2016","Former  Senior Technical writer  in Sunnyvale, California","[' LOVED the benefits at Yahoo. Great insurance, dental, vision, 401k and more.']"
5.0,"Jul 16, 2016","Former  Director of Software Development  in Sunnyvale, California",[' Excellent maternity and paternity leave policy. Nothing bad about the benefit package.']
5.0,"Jul 13, 2016","Former  Employee  in San Francisco, California",[' great health care benefits and 401k']
5.0,"Jul 06, 2016","Former  Product Manager  in Sunnyvale, California","[' 3 free meals per day plus unlimited gourmee coffee and snacks. Free smartphone. Mac computers. Sabbatical after every 5 years. Alcohol is flowing at most company gatherings. Vacation policy is very good for workers who have been there a while. The gym at the office is a bit too small and crowded, the sauna closes too early and is only open during weekdays. Onsite massage is quite bad and not free. Health insurance is just ok, but there is a free plan. The new health clinic onsite is nice.']"
5.0,"Jul 05, 2016","Former  Vice President Products  in Sunnyvale, California","[' great healthcare, matching program, gym, professional development and many other perks. hr does take pride in their work and make sure the benefits package is competitive and can attract the best possible talent to the company.']"
5.0,"Jun 30, 2016","Former  Software Engineer/Quality Assurance Engineer  in Sunnyvale, California",[' Awesome cafeteria and cafe. All meals/snacks/drinks are free.']
4.0,"Jun 29, 2016","Current  Technical Yahoo - Software Engineer  in Sunnyvale, California","[' Health Insurance , 401K plans are very competitive.']"
3.0,"Jul 02, 2016","Former  Employee  in Sunnyvale, California",[' free coffee was good while it existed']
5.0,"Jun 29, 2016","Current  Employee  in Sunnyvale, California","[' Nice benefits. Free food, phone bill is paid, tuition upto 5k /yr,401k 25% match']"
5.0,"Jun 29, 2016","Former  Sr Category Director   in New York, New York State","[' Yahoo had great benefits - free food, mat leave was strong, 401K, stock, etc.']"
4.0,"Jun 28, 2016","Former  Employee  in Sunnyvale, California","["" Yahoo has a great benefits package that is competitive with the industry and bay area companies. The best thing about the package are RSU's that are available at all levels in the company.""]"
5.0,"Jun 23, 2016","Current  Employee  in Sunnyvale, California","[' Very good benefits package. Free meals, snacks, and coffee bars']"
4.0,"Jun 09, 2016","Current  Employee  in Sunnyvale, California","[' RSUs, .25:1 401k matching, 0 premium for health insurance for employee (more if incl dependent) with net 750 deductible, on site healthcare clinic, PTO, free transportation card, free food for b/l/d, coffee bar and smoothie bar, free snacks']"
5.0,"Jun 07, 2016","Current  Employee  in Sunnyvale, California","[' good 401K plan, health benefits, in house medical facility, free lunch and coffee, daily fresh fruits and snacks , amazing gym facilities']"
4.0,"Jun 03, 2016","Former  Employee  in Sunnyvale, California",[' Pretty standard package offered. Not above and beyond but the avg. benefits']
4.0,"Jun 02, 2016","Former  Employee  in Sunnyvale, California",[' Many choices for health insurance; 401k is matched at max allowable; Flexible working hours']
4.0,"May 05, 2016","Current  Software Quality Engineer  in Sunnyvale, California","[' Best Part is you get to have free Breakfast, Lunch & Dinner. Gives away more than $500 gift for a waffle winner on each friday. Worst part is it gives only 50% of the Bonus package.']"
3.0,"May 13, 2016","Current  Software Development  in Sunnyvale, California","[' Free food, health insurance and VTA pass']"
5.0,"May 03, 2016","Former  Creative Strategist  in Omaha, Nebraska","[' The health insurance, 401k, vacation and medical leave are all best in class. The worst thing depending on your role is that they may give you quotas so aggressive and lay so many management pet projects on your schedule that you might not be able to use the vacation for fear of missing the curve on your quarterly score, thus getting put on the chopping block for one of the regular quarterly employee cuts.']"
4.0,"Apr 26, 2016","Current  Senior Product Manager  in Sunnyvale, California","["" Yahoo offers excellent benefits that are hard to match even in Silicon Valley. Yahoo's maternity plan, snacks, meals and employee match for charitable contributions are amongst the best benefits.""]"
4.0,"Apr 23, 2016","Current  Employee  in Sunnyvale, California",[' Very good package with support for parental leave.']
5.0,"Apr 18, 2016","Former  Employee  in Los Angeles, California",[' Typical health insurance coverage offered. Industry standard 401k package. Free food. Generous maternity/paternity leave.']
4.0,"Apr 19, 2016","Former  Soft Engineer  in Sunnyvale, California","[' Great vacation time, good 401k']"
4.0,"Apr 16, 2016","Former  Employee  in Sunnyvale, California","[' free food, flexible schedule, above average total package']"
4.0,"Apr 13, 2016","Former  Account Manager  in New York, New York State","[' Great benefits! Free food, commuter reimbursement, wonderful maternity leave!']"
4.0,"Apr 08, 2016","Former  Employee  in San Diego, California",[' it is very good nothing really to complain about for me. i am happy']
4.0,"Apr 02, 2016","Current  Employee  in Burbank, California","[' Good health benefits, good perks with corporate mobile phone and Apple laptop. Standard 401k matching Decent paid holidays.']"
5.0,"Apr 01, 2016","Former  Employee  in Miami, Florida",[' Incredible benefits for employees and families.']
4.0,"Mar 28, 2016","Current  Employee  in Burbank, California","[' free food, free phones, good maternity & paternity leave']"
5.0,"Mar 24, 2016","Former  Employee  in Sunnyvale, California","[' Great health, dental and vision insurance package. The 401k program was great. The discounted stock purchase program used to be great.']"
5.0,"Mar 24, 2016","Former  Employee  in Sunnyvale, California","[' solid benefits, paid time off, flexible time']"
4.0,"Mar 21, 2016","Current  Employee  in Sunnyvale, California","[' The best thing is Phone for every employee. The worst thing is they took away Employee Stock Purchase Plan, hence the total compensation is less than it used to be.']"
5.0,"Mar 21, 2016","Former  Project Manager  in Sunnyvale, California","[' Time off rolls over and you cap out, so everyone feels comfortable taking lots of vacation otherwise you lose it. 5 Year unpaid Leave (8 weeks) is great to have as an option.']"
5.0,"Mar 16, 2016","Current  Employee  in Portland, Oregon","[' Our perks are amazing, discounts at tons of places. Health/dental/vision insurance benefits are amazing and best in class.']"
5.0,"Mar 15, 2016","Former  Employee  in Sunnyvale, California",[' best was the disability insurance']
5.0,"Mar 13, 2016","Former  UI/User Experience/Visual Designer  in Sunnyvale, California",[' Great health insurance and generous 401K']
3.0,"Mar 22, 2016","Current  Employee  in Sunnyvale, California","[' good 401k matching, flexible work culture']"
3.0,"Mar 15, 2016","Current  Employee  in Sunnyvale, California","[' Free Food for breakfast, lunch, dinner']"
4.0,"Mar 11, 2016","Current  Software Engineer  in Sunnyvale, California","[' Good health insurance, 401k and time off policies.']"
5.0,"Mar 09, 2016","Former  Employee  in Omaha, Nebraska",[' Inexpensive and covers EVERYTHING. Parental leave is excellent.']
5.0,"Mar 06, 2016","Former  Employee  in San Francisco, California","[' Tell us about things like company perks, health insurance, 401k, vacation, and time off']"
4.0,"Mar 06, 2016","Current  Employee  in San Francisco, California",[' Eight weeks of Paternity and 401k matching up to $4.5k per year.']
5.0,"Mar 04, 2016","Current  Employee  in Burbank, California","[' Great health insurance, dental and vision coverage. Many options to choose from for health.']"
4.0,"Mar 03, 2016","Current  Employee  in Champaign, Illinois","[' Regular benefits and on top of that free corporate phones, mac to work on, free tshirts and lots of goodies.']"
5.0,"Mar 03, 2016","Current  Sr. Director Business Operations  in Burbank, California",[' Excellent medical benefits and option for a 2 month unpaid sabbatical every 5 years']
4.0,"Mar 02, 2016","Current  Tech Lead  in Sunnyvale, California","[' free lunch , good 401k and insurance']"
5.0,"Mar 01, 2016","Current  Employee  in Sunnyvale, California",[' Great perks and benefits. Great Health insurance coverage.']
3.0,"Mar 02, 2016","Current  Employee  in Sunnyvale, California",[' quite good comp in line with industry']
4.0,"Mar 01, 2016","Former  Operation Center  in Burbank, California","[' Health, Perks, Free Gym']"
4.0,"Feb 28, 2016","Current  Employee  in Sunnyvale, California","[' Decent 401K, good vacation hours and free food!']"
5.0,"Feb 26, 2016","Current  Employee  in Sunnyvale, California",[' Very generous time off as well as free health insurance (depending what plan you get).']
5.0,"Feb 26, 2016","Current  Employee  in Sunnyvale, California",[' Generous compensation and time off']
4.0,"Feb 26, 2016","Former  Employee  in Santa Monica, California","[' Food/perks are great, health is top-notch, stock is generous and as of right now looking up.']"
5.0,"Feb 24, 2016","Current  Account director   in New York, New York State",[' 25% 401k match and great free food.']
5.0,"Feb 18, 2016","Current  Employee  in Sunnyvale, California",[' Great payed time off: 120 hours on year 0-3. 160 hours on year 4-9 and 200 hours for 10+ years']
4.0,"Feb 16, 2016","Current  Employee  in Sunnyvale, California","["" Substantial benefits package that's difficult to pass up""]"
3.0,"Feb 29, 2016","Former  Employee  in Champaign, Illinois","[' typical company. 25% 401K matching, some percentage of your salary in annual bonus, that is also tied to the company performance as well. Vacation days is not enough in my opinion, only 15 days when you start and goes up to 20 after 5 years. Good set of options for health insurance.']"
3.0,"Feb 14, 2016","Current  Director of Program Management  in Sunnyvale, California",[' not enough incentives e.g. RSU to keep good employees. Bonus rating is not good because CEO sets the target so high that it is impossible to reach 70% let along 100%.']
4.0,"Feb 13, 2016","Current  Data Engineer  in Sunnyvale, California",[' Good free food. And reasonable PTO.']
